Question,Answer
What is the allowance for hotels per night,"£135 per night for London Hotels , £75 per night for hotels outside London with an additional £25 buffer  provided that you can justify the added cost"
What is a balance sheet?,"A balance sheet is a financial statement that shows an entity's assets, liabilities and reserves at a specific point in time."
Death in service benefit,A benefit paid out to the nominated person if an employee dies while employed by DFE. The death itself does not need to occur while at work
What is an executive agency?,"A body established to undertake the executive functions of government, as distinct from policy advice. They are within central government and can be departments in their own right or a part of a department. DfE currently has 3 executive agencies, ESFA, TRA and STA"
What is the difference between a budget and a forecast?,"A budget is the sum of money allocated for a particular purpose and is the amount of money available to spend.  A forecast is the amount of expenditure that is likely to be incurred by the end of the financial year. A forecast is not a budget – it is continually revised to take account of new information that affects activity. Forecasts are comprised of actual expenditure for the year to date, plus estimated expenditure for the remaining months to the end of the financial year."
What is a budget transfer?,"A budget transfer is when budget from one cost centre is moved to another cost centre. This may be because one budget has available funds and the other has a pressure. If you have any questions about a budget transfer, your Finance Business Partner should be able to help. You can find out who your Finance Business Partner is by reviewing the FBP Directory linked below:

https://educationgovuk.sharepoint.com/sites/how-do-i/SitePages/finance-business-partners.aspx"
what is a business case,"A business case is a management tool that records the current state of evidence and thinking concerning the development approval and implementation of a proposal. It supports the processes of scoping, analysis, appraisal, planning, monitoring, evaluating, approval and implementing a proposal and is the repository for the evidence base."
Does my case need to go to Investment Committee?,"A business case needs approval from Investment Committee if it has costs over £20m; will limit other opportunities for DfE; is novel, contentious or repercussive; or is a commercial case over £10m and is subject to Cabinet Office controls. 

If your business case meets these criteria, or you are unsure, then contact the Investment Management Team on business.cases@education.gov.uk."
What is a Certificate of Expenditure?,"A Certificate of Expenditure is a key piece of evidence for Budget Managers when signing the End of Year Declarations, which state that budgets and expenditure under their control have been properly administered. 

More information can be found here: http://portal/handbook/finance/administeringgrants/postawardstage/monitoring/Pages/Annual-certificate-of-expenditure.aspx"
Are charities automatically exempt from VAT?,"A charity needs to be VAT registered and providing a VATable supply in order to charge VAT. 

Please contact VAT.TEAM@education.gov.uk if you require more information."
Pre-authorisation check,"A check that occurs before payment is made (e.g., in BACS process for Payroll and Expenses)"
CHAPS payment,A Clearing House Automated Payment System (CHAPS) is an electronic bank-to-bank technology that enables same-day payments to be made within the UK. These are only to be used in an emergency
Project code,A code used to identify specific projects and programmes
Purchase invoice,"A commercial document or bill presented to a buyer by a seller or service provider for payment within a stated time frame that indicates what has been purchased, in what amount (quantity) and for what price"
Tax,"A compulsory contribution to state revenue, levied by the government on employee's income and business profits, or added to the cost of some goods, services, and transactions."
