Question,Answer
Where can I find a Quality Assurance (QA) log?,"There are different Quality Assurance (QA) logs available for different types of work (modelling  data analysis and dashboards).

For finance related work  it is recommend to use the Data Analysis log.

More information about QA can be found here  "
What is an executive agency?,A body established to undertake the executive functions of government  as distinct from policy advice. They are within central government and can be departments in their own right or a part of a department. DfE currently has 3 executive agencies  ESFA  TRA and STA
What is the difference between a budget and a forecast?,A budget is the sum of money allocated for a particular purpose and is the amount of money available to spend.  A forecast is the amount of expenditure that is likely to be incurred by the end of the financial year. A forecast is not a budget – it is continually revised to take account of new information that affects activity. Forecasts are comprised of actual expenditure for the year to date  plus estimated expenditure for the remaining months to the end of the financial year.
What is a budget transfer?,"A budget transfer is when budget from one cost centre is moved to another cost centre. This may be because one budget has available funds and the other has a pressure. If you have any questions about a budget transfer  your Finance Business Partner should be able to help. You can find out who your Finance Business Partner is by reviewing the FBP Directory linked below:

"
What is a business case?,A business case is a management tool that records the current state of evidence and thinking concerning the development approval and implementation of a proposal. It supports the processes of scoping  analysis  appraisal  planning  monitoring  evaluating  approval and implementing a proposal and is the repository for the evidence base.
Does my case need to go to Investment Committee?,"A business case needs approval from Investment Committee if it has costs over £20m; will limit other opportunities for DfE; is novel  contentious or repercussive; or is a commercial case over £10m and is subject to Cabinet Office controls. 

If your business case meets these criteria  or you are unsure  then contact the Investment Management Team on business.cases@education.gov.uk."
What is a Certificate of Expenditure?,"A Certificate of Expenditure is a key piece of evidence for Budget Managers when signing the End of Year Declarations  which state that budgets and expenditure under their control have been properly administered. 

More information can be found here: "
Are charities automatically exempt from Value Added Tax (VAT)?,"A charity needs to be Value Added Tax (VAT) registered and providing a VATable supply in order to charge VAT. 

If you require more information  please contact VAT.TEAM@education.gov.uk"
What is a CHAPS payment?,A Clearing House Automated Payment System (CHAPS) is an electronic bank-to-bank technology that enables same-day payments to be made within the UK. These are only to be used in an emergency.
What is a contingent liability,"A contingent liability arises as a result of a specific guarantee  indemnity  letter or statement of comfort or letter of intent which potentially creates a liability on the Department. Teams must consult the Finance Business partner before committing the Department to any guarantee etc. To find your Finance Business Partner  please use the following link:

https://educationgovuk.sharepoint.com/sites/how-do-i/SitePages/finance-business-partners.aspx"
What is a contingent liability?,"A contingent liability arises as a result of a specific guarantee  indemnity  letter or statement of comfort or letter of intent which potentially creates a liability on the Department. Teams must consult the Finance Business partner before committing the Department to any guarantee etc. To find your Finance Business Partner  please use the following link:

"
What is a cost centre?,A cost centre is often a separate department within an entity. The manager and employees of a cost centre are responsible for its costs but are not directly responsible for revenues or investment decisions.
What's my cost centre?,"A cost centre is often a separate department within an entity. The manager and employees of a cost centre are responsible for its costs but are not directly responsible for revenues or investment decisions. 

Consult with the Finance Business partner to find your cost centre. To find your Finance Business Partner  please use the following link:"
What is a creditor?,A creditor could be a bank  supplier or person that has provided money  goods  or services to a company and expects to be paid at a later date
What is a current liability?,A current liability is an obligation that is payable within one year of appearing on a company balance sheet. Examples of current liabilities include short-term debt  accounts payable  accrued liabilities
